question_number,question,predicted_topic,confidence,top_3_predictions
1.,"Read the following passage carefully : 12M (I) The Nile River, the longest river in the world, flows from South to North through Northeastern Africa. It begins from the rivers that flow into Lake Victoria (located in modern day Kenya, Tanzania and Uganda) and travels more than 6,800 kilometers (4,000 miles) to the North, emptying into the Mediterranean Sea on Egypt's coast. (II) The river's three main tributaries are the Atbara, the Blue Nile and the White Nile. The entire Nile River basin — made up of interconnected streams, lakes and rivers — threads its way through 11 African countries : Burundi, Democratic Republic of the Congo, Egypt, Eritrea, Ethiopia, Kenya, Rwanda, South Sudan, Sudan, Tanzania and Uganda. 1 * Page 2of 12 * 11 WNL (III) The Nile River was critical to the development of ancient Egypt. The soil of the Nile River Delta between Cairo, Egypt and the Mediterranean Sea is rich in nutrients, due to the large silt deposits the Nile leaves behind as it flows into the sea. The banks of the Nile all along its vast length contain rich soil as well, thanks to annual flooding that deposits silt. From space, the contrast between the Nile's lush green river banks and the desert through which it flows is obvious. (IV) For millennia, much of Egypt's food has been cultivated in the Nile Delta region. Ancient Egyptians developed irrigation methods to increase the amount of land they could use for crops to support a thriving population. Beans, cotton, flax and wheat were important, abundant crops that could be easily stored and traded. (V) The Nile River Delta was also an ideal growing location for the papyrus plant. Ancient Egyptians used the papyrus plant in many ways, such as making cloth, boxes and rope, but by far its most important use was in making paper. Besides using the river's natural resources for themselves and trading them with others, early Egyptians also used the river for bathing, drinking, recreation and transportation. (VI) Today, 95 percent of Egyptians live within a few miles of the Nile. Canals bring water from the Nile to irrigate farms and support cities. The river's water is a vital resource for millions of people who depend on it for irrigation, drinking water, fishing and hydroelectric power. The river has served as an important transportation route for thousands of years. Today, some residents of Cairo have begun using private speed boats, water taxis or ferries to avoid crowded streets. (VII) The many habitats in the Nile River basin support biodiversity in the region. The basin is home to a variety of animals, including the hippopotamus, the monitor lizard and the fearsome Nile crocodile. The Nile River Delta is also a vital winter stopover for millions of birds migrating along the East African flyway. 1 * Page 3of 12 * P.T.O. 11 NNW Answer the following questions, based on the passage above : (i) Para I suggests that the Nile River has multiple sources. What does this indicate about its basin ? (A) It is located entirely within Egypt. (B) It includes several rivers and spans multiple countries. (C) It only flows through Lake Victoria. (D) Itis mainly fed by underground springs. (ii) In the line ""The entire Nile River Basin — made up of interconnected streams, lakes and rivers — threads its way through 11 African countries""; the phrase ""threads its way"" suggests (a slow and straight path / a complex and continuous network / a narrow and delicate route through obstacles) (ii1) Give two reasons why the land near the Nile was important to ancient Egypt. (iv) What does the writer imply by the phrase 'the contrast.....is obvious' in the sentence 'from space, the contrast between the Nile's lush green river banks and the desert through which it flows is obvious' ? (v) Rectify the given false statement. The phrase ""support a thriving population"" suggests the idea of restricting a growing and prosperous society. (vi) Why was the papyrus plant considered especially important in ancient Egypt ? (vii) List where do most Egyptians live today in relation to the Nile ? (para VI) (viii) Water from the Nile River is considered a vital source. Justify this statement with evidence from the passage. (Para VI) (ix) How does the biodiversity in the Nile River Basin benefit the region ? Answer in about 40 words. (Para VII) 1 * Page 4of 12 * 11 NNW",Grammar,0.101,"[{'topic': 'Grammar', 'confidence': 0.101}, {'topic': 'Long Answer', 'confidence': 0.065}, {'topic': 'Poetry', 'confidence': 0.064}]"
2.,"Read the following passage carefully : 10 M (I) In today's digital age, teenagers are spending increasing amount of time on screens, whether for school, social media, gaming, or entertainment. According to a 2024 nationwide survey by the Indian Digital Wellness Foundation, the average screen time for teenagers (ages 13-19) has reached 7.2 hours per day a significant rise from 4.5 hours in 2019. (II) The survey included 10,000 participants across urban and semi-urban areas and revealed the following average daily screen time by age group : Age Group Average Screen Time (per day) 10-12 4.1 hours 13-15 6.5 hours 16-19 8.0 hours (III) Experts warn that excessive screen time can negatively affect physical and mental health. Common problems include eye strain, poor posture, disturbed sleep, reduced physical activity and increased anxiety. In fact, 62% of teenagers surveyed reported feeling tired or irritable after long hours on their devices. (IV) However, not all screen time is harmful. Educational apps, online classes and creative digital tools can enhance learning and skill development when used in moderation. The key, health experts say, is balance and time management. (V) Parents and schools play a critical role in setting screen-time boundaries and encouraging outdoor activities and_ social interaction. Introducing tech-free hours, using blue light filters, and ensuring regular breaks are some ways to reduce the harmful effects of screens. 1 * Page Sof 12 * P.T.O. 11 NNW (VI) Interestingly, the study also found that teenagers who were involved in offline hobbies like reading, art, or sports reported better focus and emotional well-being than those with high screen use. This suggests that combining technology with real-world interests can lead to a healthier, more balanced lifestyle. With digital devices becoming an inseparable part of modern life, building healthy tech habits among teens is more important than ever. Answer the following questions, based on the passage above : (i) (1) (iii) (iv) (v) (vi) (vii) What are the main reasons teenagers use screens in today's digital age and what does it reveal about them ? Fill in the blank with an appropriate phrase : The age group that shows the highest increase in average screen time compared to the group immediately younger is Complete with a suitable reason : Experts believe that excessive screen time should be curbed because What did the survey reveal about teenager's feelings after long screen use ? (para IIT) Which of the following is not mentioned as a beneficial use of screen time ? (A) Playing video games (B) Using educational apps (C) Attending online classes (D) Using creative digital tools What do health experts say is important when using screen time ? (Para IV) Fill in the blank by choosing the correct option from those given in the brackets. Parents and schools help reduce the harmful effects of screens by encouraging (outdoor activities and_ social interaction / increased screen time) and setting screen-time boundaries. (viii) Why is it important to build healthy tech habits among teens today ? Answer in about 40 words. (para VI) * Page 6of 12 * 11 Section -B () Writing Skills Write an application in not more than 50 words to the sports in-charge seeking permission to use the playground for an inter-class football practice session. You are Sneha / Sushil Gupta, Class X-D, captain of the football team. Write a factual description of ""A Memorable Trip or Excursion"" in not more than 100 words, mentioning the location, activities and why it remains unforgettable. Answer any one from (A) and (B) in 120 words : (A) Rising cases of cybercrime and online fraud have made internet users, especially students and elderly people, vulnerable. Many people lose their hard-earned money and personal information because of a lack of awareness and weak cyber safety measures. As Jyoti / Karan Singh, 56, James Colony, write a letter to the Editor of a national daily expressing your concern about the growing menace of cybercrime. Highlight its harmful impact on society and suggest practical steps that individuals and authorities can take to ensure online security. OR (B) Plastic waste has become one of the most pressing environmental challenges of our time. Non-biodegradable plastics are choking drains, harming animals and severely damaging marine life. As Karuna / Karan Singh, Mall Road, Shannagar, write a letter to the editor of a national daily highlighting the urgency of reducing plastic use. Emphasize on the harmful impact of plastic waste on health and the environment and suggest practical measures to promote ecofriendly alternatives and encourage responsible behaviour among citizens. * Page 7of 12 * P.T.O. 11 NNW",Writing Skills,0.13,"[{'topic': 'Writing Skills', 'confidence': 0.13}, {'topic': 'Report Writing', 'confidence': 0.123}, {'topic': 'Reading Comprehension', 'confidence': 0.084}]"
6.,"(A) Write an article in about 150 words, as Kumud / Kavish, Class-X, stressing the importance of ""environmental conservation"" in today's world. Focus on the benefits of protecting nature for human health, biodiversity and the planet's future. Share specific advantages of eco-friendly practices and explain why nurturing) an environmentally responsible generation is vital. Use the given cues, along with your own ideas and those you may have gathered from Unit 4 Environment, to create this article. Sustainability Green responsibility OR (B) Write an article, in about 150 words, as Romila / Romy, Class X for your school magazine on the topic ""Satellites ! Silent helpers in our Daily Lives"". Discuss how satellites support us. Explain how space technology benefits ordinary people on earth. Suggest activities students can do to learn more about satellite technology. Use the given cues, along with your own ideas and those you may have gathered from Unit 3 : Science to create this article. Support us in communication, weather forecasting, disaster management and navigation. Activities of students — model making, quiz on sports, visit planetariums etc. Section — C () Grammar Fill in the blanks (4) — (111) with the appropriate option from those in the brackets : Artificial Intelligence (a) (is transforming / transform / transformed) industries worldwide. Many companies (ii) (are adopting / adopts / adopted) AI tools to improve efficiency. Experts predict that automation (111) (will create / creating / created) both challenges and opportunities in the job market. * Page Sof 12 * 11 NNW",Article Writing,0.326,"[{'topic': 'Article Writing', 'confidence': 0.326}, {'topic': 'Report Writing', 'confidence': 0.311}, {'topic': 'Literature', 'confidence': 0.278}]"
8.,"In the following paragraph, one word has been omitted in each line. In your answer sheets, remember to write the missing word along with the word that comes before and after it, as shown below. The first one has been done as an example. Sr. Text Word | Omission | Word after No. before",Notice Writing,0.275,"[{'topic': 'Notice Writing', 'confidence': 0.275}, {'topic': 'Letter Writing', 'confidence': 0.236}, {'topic': 'Article Writing', 'confidence': 0.222}]"
1.,Regular exercise helps| helps in maintaining maintaining good,Report Writing,0.163,"[{'topic': 'Report Writing', 'confidence': 0.163}, {'topic': 'Editing', 'confidence': 0.139}, {'topic': 'Writing Skills', 'confidence': 0.136}]"
2.,physical and mental health Doctors recommend least,Report Writing,0.147,"[{'topic': 'Report Writing', 'confidence': 0.147}, {'topic': 'Poetry', 'confidence': 0.126}, {'topic': 'Letter Writing', 'confidence': 0.093}]"
3.,30 minutes' physical activity daily. A balanced diet A. plays crucial role in boosting immunity.,Report Writing,0.093,"[{'topic': 'Report Writing', 'confidence': 0.093}, {'topic': 'Short Answer', 'confidence': 0.075}, {'topic': 'Long Answer', 'confidence': 0.07}]"
5.,Exercise is a powerful way keep the body fit and mind sharp.,Editing,0.144,"[{'topic': 'Editing', 'confidence': 0.144}, {'topic': 'Poetry', 'confidence': 0.136}, {'topic': 'Gap Filling', 'confidence': 0.122}]"
9.,"Do as directed : 1+2=3 (I) Rearrange the following jumbled words / phrases in the given dialogue to create a meaningful sentence : 1 Patient : Excuse me, could you please give me something for a cold and sore throat ? Pharmacist : the throat / and / Certainly. I recommend / these lozenges for / for the cold. / a mild decongestant. (II) Report the conversation given below by filling in the blanks to complete the following paragraph. 2 Coach : Will you be able to play in tomorrow's match ? Player : Yes, Pll be ready by then. The coach asked the player (i) The player replied that (11) 1 * Page 9of 12 * P.T.O. 11 Section — D () Literature Textbook",Case Based Passage,0.334,"[{'topic': 'Case Based Passage', 'confidence': 0.334}, {'topic': 'Reading Comprehension', 'confidence': 0.323}, {'topic': 'Grammar', 'confidence': 0.27}]"
10.,"Read the given extract and answer the questions briefly, for any two extracts, of the three given : (A) ""Police Superintendent,"" a voice called sharply. The old man started at the sound, but composed himself again to wait. But for the faith and love, that warmed him, he could not have borne the bitter cold. Name after name rang out from within as the clerk read out the English addresses on the letters and flung them to the waiting postmen. From long practice he had acquired great speed at reading out the titles — Commissioner, Superintendent, Diwan Sahib, Librarian — and in flinging the letters out. (The Letter) (i) What did the old man do when he heard the voice ? 1 (ii) How had the clerk become so fast at reading the titles ? 1 (iii) What can we infer about the old man's state of mind as he waited ? 1 (iv) Explain the phrase 'name after name' with reference to the context. 1 (B) Not marble, nor the gilded monuments Of princes, shall outlive this powerful rhyme; But you shall shine more bright in these contents Than unswept stone, besmear'd with sluttish time. (Not Marble, nor the Gilded Monuments) (i) What, according to the poet, will not outlive his rhyme ? 1 (ii) What does the phrase ""unswept stone"" suggest ? 1 (iii) How does the poet describe the effect of time on monuments ? 1 (iv) What message is Shakespeare conveying about poetry in these lines ? 1 1 * Page 10of 12 * 11 NNW (C) Enter DECIUS BRUTUS Here's Decius Brutus, he shall tell them so. DECIUS BRUTUS Caesar, all hail ! good morrow, worthy Caesar : I come to fetch you to the senate-house. CAESAR And you are come in very happy time, To bear my greeting to the senators And tell them that I will not come to-day : Cannot, is false, and that I dare not, falser : I will not come to-day : tell them so, Decius. CALPURNIA Say he is sick. (Julius Caesar) (i) Where does Decius Brutus want to take Caesar ? 1 (ii) What message does Caesar give for the senators ? 1 (ii1) What excuse does Calpurnia suggest for not going to the senate houses ? 1 (iv) What does this passage reveal about Caesar's character ? 1",Reading Comprehension,0.267,"[{'topic': 'Reading Comprehension', 'confidence': 0.267}, {'topic': 'Letter Writing', 'confidence': 0.266}, {'topic': 'Poetry', 'confidence': 0.264}]"
11.,"Answer any five of the following six questions in about 30-40 words each: (i) What impressed the narrator about Nicola and Jacopo's character ? (Two Gentlemen of Verona) 2 (ii) What is the central theme of ""The Dear Departed"" ? 2 (iii) How did the frog exploit the Nightingale's talent ? (The Frog and The Nightingale) 2 (iv) What does Mrs. Packelide's decision to hunt a tiger reveal about her character ? 2 (v) What is the symbolic significance of the Albatross in the poem ""The Rime of the Ancient Mariner"" ? 2 (vi) Why is Patol Babu initially disheartened when he learns his dialogue is just one word ? (Patol Babu, Filmstar) 2",Literature,0.369,"[{'topic': 'Literature', 'confidence': 0.369}, {'topic': 'Poetry', 'confidence': 0.332}, {'topic': 'Prose', 'confidence': 0.296}]"
12.,"Answer any one of the following two questions in about 150 words: (A) Compare how humour and suspense are used in the two stories : ""A Shady Plot"" by Elsie Brown and ""Virtually True"" by Paul Stewart. OR (B) How do both poems ""Ozymandias"" by P.B. Shelley and ""Snake"" by D.H. Lawrence reflect human arrogance and its consequences ? 1 * Page 11of 12 * 11 NANI 1 BT IYI * Page reel 12*",Poetry,0.458,"[{'topic': 'Poetry', 'confidence': 0.458}, {'topic': 'Literature', 'confidence': 0.432}, {'topic': 'Prose', 'confidence': 0.379}]"
